Price,Area,Bedrooms,WC,Length,Width,Floors,has_facade,no_facade,Area_Total,Average_price
4.6,83.0,3.0,2.0,18.0,4.2,2.0,1,0,166.0,6.094126923076923
1.85,35.0,2.0236245398438033,1.764345215055449,2.0,8.5,2.0,1,0,70.0,6.094126923076923
2.7,55.0,2.7480558330450564,2.1972124821608805,6.0,9.166666666666666,5.0,1,0,275.0,6.094126923076923
4.6,46.0,3.0,2.774879629917043,11.5,4.0,3.0,1,0,138.0,6.094126923076923
4.9,44.0,4.0,3.0,4.0,11.0,4.0,1,0,176.0,6.094126923076923
3.75,62.0,2.7128520301634076,2.105249957462549,4.0,15.5,2.0,1,0,124.0,6.094126923076923
2.93,30.0,3.0,2.0,9.0,3.5,3.0,0,1,90.0,6.094126923076923
6.0,64.0,4.0,4.0,4.0,16.0,3.0,1,0,192.0,6.094126923076923
7.28,108.0,5.0,4.0,13.5,8.0,4.0,1,0,432.0,6.094126923076923
3.9,63.0,2.0,2.0,16.0,4.0,2.0,1,0,126.0,6.094126923076923
4.4,48.0,2.0,2.0,12.0,4.0,1.0,1,0,48.0,6.094126923076923
10.28,88.0,4.0,3.0,4.0,22.0,4.0,1,0,352.0,6.094126923076923
4.25,50.0,3.0494017154226327,2.3338732547911594,10.0,5.0,3.0,1,0,150.0,6.094126923076923
5.3,48.0,4.0,3.0,12.0,4.0,4.0,1,0,192.0,6.094126923076923
3.35,30.0,2.0,2.1101253732459533,5.1,6.0,2.0,1,0,60.0,6.094126923076923
6.35,52.2,4.0,5.0,4.0,13.0,5.0,0,1,261.0,6.094126923076923
10.38,80.0,4.0,4.0,4.0,20.0,4.0,0,1,320.0,6.094126923076923
4.85,65.0,3.0,1.0,4.0,16.0,1.0,1,0,65.0,6.094126923076923
3.7,48.0,2.5,2.0551273440037416,4.0,12.0,2.0,1,0,96.0,6.094126923076923
5.6,135.0,3.967377361685602,3.2062367701390313,15.0,9.0,1.0,1,0,135.0,6.094126923076923
4.5,72.0,3.3333333333333335,2.3333333333333335,18.0,4.0,1.0,1,0,72.0,6.094126923076923
16.2,143.5,3.0,3.0,17.1,13.1,2.0,0,1,450.0,6.094126923076923
6.3,73.0,4.0,5.0,18.0,4.0,4.0,1,0,292.0,6.094126923076923
13.5,80.0,5.341440342713263,5.228082498855263,4.0,20.0,6.0,1,0,480.0,6.094126923076923
4.4,57.0,4.0,2.2496315326133773,14.1,4.0,3.0,1,0,171.0,6.094126923076923
4.1,37.0,3.0,2.6246090938553315,4.0,9.0,3.0,1,0,111.0,6.094126923076923
6.8,72.0,4.0,3.0,17.5,4.1,3.0,1,0,216.0,6.094126923076923
4.7,60.0,2.0,2.0,4.0,15.0,2.0,1,0,120.0,6.094126923076923
6.7,54.0,4.0,4.0,4.0,13.5,4.0,1,0,216.0,6.094126923076923
